file,energy_eV,energy_per_atom_eV,natoms,formula
struct_0575.cif,-87.77474,-7.979522,11,CaO7Si2Ti
struct_0576.cif,-130.6345,-7.684383,17,Ca3O10Si2Ti2
struct_0577.cif,-82.35454,-6.8628783,12,Ca2O2Si3Ti5
struct_0578.cif,-89.82016,-7.4850135,12,CaO8Si2Ti
struct_0579.cif,-51.664684,-6.4580855,8,Ca2O2Si2Ti2
struct_0580.cif,-50.710857,-6.338857,8,Ca2O2Si2Ti2
struct_0581.cif,-38.77166,-6.461943,6,Ca2O2SiTi
struct_0582.cif,-154.63802,-7.7319007,20,Ca4O12Si2Ti2
struct_0583.cif,-77.06955,-7.706955,10,Ca2O6SiTi
struct_0584.cif,-57.254597,-5.7254596,10,Ca4O2Si2Ti2
struct_0585.cif,-7.8036404,-3.9018202,2,CaSi
struct_0586.cif,-76.57587,-7.6575866,10,CaO6Si2Ti
struct_0587.cif,-26.11443,-6.5286074,4,CaO2Si
struct_0588.cif,-89.71912,-7.476593,12,CaO8Si2Ti
struct_0589.cif,-89.91453,-7.4928775,12,CaO8Si2Ti
struct_0590.cif,-23.377415,-5.8443537,4,CaOSi2
struct_0591.cif,-33.639538,-5.60659,6,Ca2OSi2Ti
struct_0592.cif,-60.086052,-5.007171,12,Ca5OSi3Ti3
struct_0593.cif,-76.97476,-7.6974764,10,Ca2O6SiTi
struct_0594.cif,-65.19718,-7.244131,9,CaO6SiTi
struct_0595.cif,-50.6357,-6.3294625,8,Ca2O2Si2Ti2
struct_0596.cif,-80.00384,-7.273076,11,Ca2O7SiTi
struct_0597.cif,-92.651855,-7.720988,12,CaO7Si2Ti2
struct_0598.cif,-69.22265,-7.6914053,9,CaO5SiTi2
struct_0599.cif,-36.111183,-6.0185304,6,Ca2O2SiTi
struct_0600.cif,-127.801674,-7.100093,18,Ca5O10Si2Ti
