file,energy_before_eV,energy_after_eV,delta_energy_eV,energy_per_atom_eV,natoms,formula,relaxed_file
struct_0118.cif,-65.56289,-65.63613,-0.07324219,-7.2929034,9,Ca2O5SiTi,struct_0118_relaxed.cif
struct_0119.cif,-143.77792,-150.54192,-6.7639923,-7.527096,20,Ca2O13Si4Ti,struct_0119_relaxed.cif
struct_0120.cif,-45.762203,-46.57421,-0.8120079,-5.8217764,8,Ca2OSi3Ti2,struct_0120_relaxed.cif
struct_0121.cif,-88.69616,-88.849724,-0.15356445,-7.404144,12,Ca2O7Si2Ti,struct_0121_relaxed.cif
struct_0122.cif,-50.711655,-51.152626,-0.44097137,-6.3940783,8,Ca2O2Si2Ti2,struct_0122_relaxed.cif
struct_0123.cif,-23.10418,-23.141193,-0.037014008,-5.7852983,4,CaOSi2,struct_0123_relaxed.cif
struct_0124.cif,-113.222946,-113.34491,-0.1219635,-8.096065,14,CaO9Si2Ti2,struct_0124_relaxed.cif
struct_0125.cif,-76.5951,-77.002754,-0.4076538,-7.7002754,10,CaO6Si2Ti,struct_0125_relaxed.cif
struct_0126.cif,-17.350716,-17.351307,-0.0005912781,-8.675653,2,OTi,struct_0126_relaxed.cif
struct_0127.cif,-75.756546,-76.167274,-0.41072845,-7.6167274,10,Ca2O6SiTi,struct_0127_relaxed.cif
struct_0128.cif,-98.33911,-99.135445,-0.7963333,-7.0811033,14,Ca2O7Si3Ti2,struct_0128_relaxed.cif
struct_0129.cif,-25.5437,-25.549084,-0.005384445,-6.387271,4,CaO2Si,struct_0129_relaxed.cif
struct_0130.cif,-35.91309,-35.94722,-0.034130096,-5.9912033,6,Ca2OSiTi2,struct_0130_relaxed.cif
struct_0131.cif,-96.023834,-96.631386,-0.6075516,-8.052615,12,CaO7SiTi3,struct_0131_relaxed.cif
struct_0132.cif,-75.10204,-75.31384,-0.21179962,-7.5313845,10,CaO6Si2Ti,struct_0132_relaxed.cif
struct_0133.cif,-128.82434,-128.82864,-0.0043029785,-8.05179,16,Ca2O10Si2Ti2,struct_0133_relaxed.cif
struct_0134.cif,-77.22217,-77.41348,-0.1913147,-7.7413483,10,CaO6Si2Ti,struct_0134_relaxed.cif
struct_0135.cif,-23.375555,-23.391232,-0.015676498,-5.847808,4,CaOSi2,struct_0135_relaxed.cif
struct_0136.cif,-37.10814,-37.114708,-0.0065689087,-6.185785,6,Ca2O2SiTi,struct_0136_relaxed.cif
struct_0137.cif,-25.75085,-25.764338,-0.013486862,-6.4410844,4,CaOSiTi,struct_0137_relaxed.cif
struct_0138.cif,-52.231766,-52.3087,-0.076934814,-6.5385876,8,Ca2O2Si2Ti2,struct_0138_relaxed.cif
struct_0139.cif,-26.25098,-26.263084,-0.012104034,-6.565771,4,CaOSiTi,struct_0139_relaxed.cif
struct_0140.cif,-56.577118,-56.615875,-0.038757324,-5.6615877,10,Ca4O2Si2Ti2,struct_0140_relaxed.cif
struct_0141.cif,-25.539494,-25.942514,-0.40302086,-6.4856286,4,CaO2Si,struct_0141_relaxed.cif
struct_0142.cif,-25.447767,-25.469837,-0.022069931,-6.3674593,4,CaOSiTi,struct_0142_relaxed.cif
struct_0143.cif,-89.85516,-90.073494,-0.21833038,-7.5061245,12,CaO8Si2Ti,struct_0143_relaxed.cif
struct_0144.cif,-76.13033,-76.458664,-0.328331,-7.6458664,10,CaO6Si2Ti,struct_0144_relaxed.cif
struct_0145.cif,-149.2214,-149.74214,-0.5207367,-7.4871073,20,Ca3O12Si4Ti,struct_0145_relaxed.cif
struct_0146.cif,-40.97862,-40.98171,-0.0030899048,-6.8302846,6,CaOSi2Ti2,struct_0146_relaxed.cif
struct_0147.cif,-120.462425,-120.556465,-0.09403992,-7.534779,16,Ca2O10Si4,struct_0147_relaxed.cif
struct_0148.cif,-25.552158,-25.561626,-0.009468079,-6.3904066,4,CaO2Si,struct_0148_relaxed.cif
struct_0149.cif,-40.96821,-40.972664,-0.0044555664,-6.8287773,6,CaOSi2Ti2,struct_0149_relaxed.cif
struct_0150.cif,-134.99942,-136.97574,-1.9763184,-7.609763,18,Ca2O11Si4Ti,struct_0150_relaxed.cif
struct_0151.cif,-138.71065,-139.92192,-1.2112732,-6.996096,20,Ca2O8Si6Ti4,struct_0151_relaxed.cif
struct_0152.cif,-139.26929,-139.59343,-0.32414246,-7.7551904,18,Ca3O11Si2Ti2,struct_0152_relaxed.cif
struct_0153.cif,-23.27209,-23.296669,-0.024578094,-5.8241673,4,CaOSi2,struct_0153_relaxed.cif
struct_0154.cif,-95.514046,-95.94147,-0.42742157,-6.852962,14,Ca4O7Si2Ti,struct_0154_relaxed.cif
struct_0155.cif,-54.86181,-55.095867,-0.23405838,-6.8869834,8,Ca2O3SiTi2,struct_0155_relaxed.cif
struct_0156.cif,-15.075596,-15.075831,-0.00023555756,-5.025277,3,CaSiTi,struct_0156_relaxed.cif
struct_0157.cif,-30.28511,-30.31972,-0.03460884,-6.063944,5,CaO2Si2,struct_0157_relaxed.cif
struct_0158.cif,-48.335625,-48.678505,-0.34288025,-6.084813,8,Ca2O2Si2Ti2,struct_0158_relaxed.cif
struct_0159.cif,-111.13898,-111.3798,-0.24082184,-7.42532,15,Ca2O8Si3Ti2,struct_0159_relaxed.cif
struct_0160.cif,-76.74275,-76.784065,-0.04131317,-7.6784067,10,Ca2O6SiTi,struct_0160_relaxed.cif
struct_0161.cif,-103.183495,-103.44444,-0.26094818,-7.388889,14,Ca2O9Si2Ti,struct_0161_relaxed.cif
struct_0162.cif,-87.24098,-87.2918,-0.050819397,-7.9356184,11,CaO7Si2Ti,struct_0162_relaxed.cif
struct_0163.cif,-43.482838,-43.497887,-0.015048981,-6.213984,7,Ca2OSi2Ti2,struct_0163_relaxed.cif
struct_0164.cif,-15.327063,-15.332843,-0.00578022,-5.1109476,3,CaSiTi,struct_0164_relaxed.cif
struct_0165.cif,-72.4592,-72.461716,-0.0025177002,-7.2461715,10,Ca2O6Si2,struct_0165_relaxed.cif
struct_0166.cif,-25.385643,-25.399132,-0.0134887695,-6.349783,4,CaOSiTi,struct_0166_relaxed.cif
struct_0167.cif,-79.899734,-79.945145,-0.045410156,-7.9945145,10,CaO6SiTi2,struct_0167_relaxed.cif
struct_0168.cif,-88.52087,-88.90949,-0.3886261,-7.4091244,12,CaO8Si2Ti,struct_0168_relaxed.cif
struct_0169.cif,-127.00581,-127.06153,-0.05571747,-7.9413457,16,Ca2O10Si2Ti2,struct_0169_relaxed.cif
struct_0170.cif,-103.08786,-103.167725,-0.0798645,-7.369123,14,Ca2O9Si2Ti,struct_0170_relaxed.cif
struct_0171.cif,-52.66272,-52.815273,-0.15255356,-7.545039,7,CaO4SiTi,struct_0171_relaxed.cif
struct_0172.cif,-62.969765,-63.091846,-0.12208176,-7.886481,8,O5Si2Ti,struct_0172_relaxed.cif
struct_0173.cif,-142.88348,-143.08307,-0.19958496,-7.9490595,18,Ca2O11Si2Ti3,struct_0173_relaxed.cif
struct_0174.cif,-47.83921,-48.03166,-0.19244766,-6.8616652,7,CaO2Si2Ti2,struct_0174_relaxed.cif
struct_0175.cif,-43.468307,-43.490486,-0.02217865,-6.2129264,7,Ca2OSi2Ti2,struct_0175_relaxed.cif
struct_0176.cif,-23.11176,-23.145493,-0.033733368,-5.786373,4,CaOSi2,struct_0176_relaxed.cif
struct_0177.cif,-21.74325,-21.797613,-0.05436325,-5.4494033,4,CaOSi2,struct_0177_relaxed.cif
struct_0178.cif,-51.840317,-51.858997,-0.018680573,-6.4823747,8,Ca2O2Si2Ti2,struct_0178_relaxed.cif
struct_0179.cif,-77.07077,-77.07877,-0.008003235,-7.707877,10,Ca2O6SiTi,struct_0179_relaxed.cif
struct_0180.cif,-56.670307,-56.704605,-0.034297943,-7.0880756,8,Ca2O3SiTi2,struct_0180_relaxed.cif
struct_0181.cif,-77.08172,-77.08317,-0.001449585,-7.708317,10,Ca2O6SiTi,struct_0181_relaxed.cif
struct_0182.cif,-88.52441,-88.56284,-0.03843689,-7.380237,12,CaO8Si2Ti,struct_0182_relaxed.cif
struct_0183.cif,-128.81808,-128.8223,-0.004211426,-8.0513935,16,Ca2O10Si2Ti2,struct_0183_relaxed.cif
struct_0184.cif,-88.52645,-88.943985,-0.41753387,-7.4119987,12,CaO8Si2Ti,struct_0184_relaxed.cif
struct_0185.cif,-23.123257,-23.146757,-0.023500443,-5.7866893,4,CaOSi2,struct_0185_relaxed.cif
struct_0186.cif,-35.547905,-35.580173,-0.032268524,-5.930029,6,Ca2O2Si2,struct_0186_relaxed.cif
struct_0187.cif,-76.657364,-76.65955,-0.0021896362,-7.6659555,10,Ca2O6SiTi,struct_0187_relaxed.cif
struct_0188.cif,-16.88239,-16.88751,-0.005121231,-5.62917,3,CaOSi,struct_0188_relaxed.cif
struct_0189.cif,-62.37944,-62.487007,-0.10756683,-6.943001,9,CaO3Si3Ti2,struct_0189_relaxed.cif
struct_0190.cif,-16.886732,-16.886896,-0.00016403198,-5.6289654,3,CaOSi,struct_0190_relaxed.cif
struct_0191.cif,-43.48247,-43.494698,-0.012226105,-6.213528,7,Ca2OSi2Ti2,struct_0191_relaxed.cif
struct_0192.cif,-114.36132,-115.04637,-0.68505096,-7.6697583,15,CaO9Si3Ti2,struct_0192_relaxed.cif
struct_0193.cif,-88.52954,-88.53747,-0.007926941,-7.3781223,12,CaO8Si2Ti,struct_0193_relaxed.cif
struct_0194.cif,-25.38115,-25.399378,-0.01822853,-6.3498445,4,CaOSiTi,struct_0194_relaxed.cif
struct_0195.cif,-44.56767,-45.08943,-0.52176285,-6.4413476,7,Ca2O2SiTi2,struct_0195_relaxed.cif
struct_0196.cif,-67.746376,-67.91454,-0.16816711,-6.7914543,10,CaO3Si4Ti2,struct_0196_relaxed.cif
struct_0197.cif,-43.445385,-43.48884,-0.043453217,-7.24814,6,CaO2SiTi2,struct_0197_relaxed.cif
struct_0198.cif,-75.4225,-75.52876,-0.10626221,-7.5528765,10,CaO6Si2Ti,struct_0198_relaxed.cif
struct_0199.cif,-99.70843,-103.887955,-4.1795273,-7.420568,14,Ca2O9Si2Ti,struct_0199_relaxed.cif
struct_0200.cif,-66.807915,-66.813255,-0.005340576,-7.423695,9,CaO6SiTi,struct_0200_relaxed.cif
struct_0201.cif,-88.525925,-88.93791,-0.4119873,-7.411493,12,CaO8Si2Ti,struct_0201_relaxed.cif
struct_0202.cif,-124.90284,-124.92998,-0.027137756,-7.8081236,16,Ca2O10Si3Ti,struct_0202_relaxed.cif
struct_0203.cif,-89.90729,-89.97069,-0.06340027,-7.497557,12,CaO8Si2Ti,struct_0203_relaxed.cif
struct_0204.cif,-25.691164,-25.691189,-2.4795532e-05,-6.422797,4,CaOSiTi,struct_0204_relaxed.cif
struct_0205.cif,-90.38246,-90.39511,-0.012649536,-7.532926,12,CaO8Si2Ti,struct_0205_relaxed.cif
struct_0206.cif,-87.785904,-87.79154,-0.0056381226,-7.981049,11,CaO7Si2Ti,struct_0206_relaxed.cif
struct_0207.cif,-91.16553,-93.4295,-2.2639694,-7.7857914,12,CaO7Si2Ti2,struct_0207_relaxed.cif
struct_0208.cif,-25.827538,-25.844027,-0.016489029,-6.4610066,4,CaOSiTi,struct_0208_relaxed.cif
struct_0209.cif,-77.06673,-77.076744,-0.010017395,-7.7076745,10,Ca2O6SiTi,struct_0209_relaxed.cif
struct_0210.cif,-53.43425,-54.003887,-0.5696373,-6.750486,8,Ca2O4SiTi,struct_0210_relaxed.cif
