gen_file,gen_formula,best_cod,match_level,best_rmsd,best_rmsd_cod,lattice_diff_max_rel,angle_diff_max_deg,volume_diff_rel,gen_crystalsys,cod_crystalsys,candidates
struct_0241_relaxed.cif,Ca2TiSiO6,9001841 Ca2 O6 Si Ti.cif,unique,0.005291789599645302,9001841 Ca2 O6 Si Ti.cif,0.39746593804138036,30.075926706719223,2.8600268717671784,cubic,cubic,[]
struct_0242_relaxed.cif,CaTiSiO5,9005927 Ca O5 Si Ti.cif,unique,0.009178983140187648,9005927 Ca O5 Si Ti.cif,0.28591007125817075,15.69559902216045,0.9746906026968947,monoclinic,monoclinic,[]
struct_0243_relaxed.cif,Ca3Ti(SiO3)4,,unique,,,,,,triclinic,,[]
struct_0244_relaxed.cif,CaTiSiO5,9005927 Ca O5 Si Ti.cif,unique,0.010314314607171417,9005927 Ca O5 Si Ti.cif,0.283496035184633,15.693080073426373,0.9586401384280392,monoclinic,monoclinic,[]
struct_0245_relaxed.cif,CaTi2SiO,,unique,,,,,,tetragonal,,[]
struct_0246_relaxed.cif,CaTiSi,,unique,,,,,,trigonal,,[]
struct_0247_relaxed.cif,CaSiO3,,unique,,,,,,monoclinic,,[]
struct_0248_relaxed.cif,CaSiO,,unique,,,,,,trigonal,,[]
struct_0249_relaxed.cif,CaTiSiO,,unique,,,,,,trigonal,,[]
struct_0250_relaxed.cif,CaTiSiO6,,unique,,,,,,trigonal,,[]
struct_0251_relaxed.cif,CaTi(SiO)2,,unique,,,,,,triclinic,,[]
struct_0252_relaxed.cif,CaTi3SiO9,,unique,,,,,,triclinic,,[]
struct_0253_relaxed.cif,CaTiSi,,unique,,,,,,hexagonal,,[]
struct_0254_relaxed.cif,CaSiO4,,unique,,,,,,tetragonal,,[]
struct_0255_relaxed.cif,Ca2TiSi2,,unique,,,,,,orthorhombic,,[]
struct_0256_relaxed.cif,CaTiSiO5,9005927 Ca O5 Si Ti.cif,unique,0.0106283755568708,9005927 Ca O5 Si Ti.cif,0.28464471188884066,15.687717589959846,0.9678277647996144,monoclinic,monoclinic,[]
struct_0257_relaxed.cif,CaTi2Si2O,,unique,,,,,,tetragonal,,[]
struct_0258_relaxed.cif,Ca2TiSiO6,9001841 Ca2 O6 Si Ti.cif,unique,0.08364771495960072,9001841 Ca2 O6 Si Ti.cif,0.4090465111526038,29.802421890632232,2.8969461431886714,tetragonal,cubic,[]
struct_0259_relaxed.cif,Ca2TiSiO6,9001841 Ca2 O6 Si Ti.cif,unique,0.0841530566194802,9001841 Ca2 O6 Si Ti.cif,0.4079612284298983,29.87879795649745,2.911984563903432,triclinic,cubic,[]
struct_0260_relaxed.cif,CaSi2O,,unique,,,,,,trigonal,,[]
struct_0261_relaxed.cif,CaSi2O,,unique,,,,,,trigonal,,[]
struct_0262_relaxed.cif,CaTiSiO5,9005927 Ca O5 Si Ti.cif,unique,0.011302560662174721,9005927 Ca O5 Si Ti.cif,0.285276412088214,15.817101045268558,0.9630691000942303,monoclinic,monoclinic,[]
struct_0263_relaxed.cif,CaSiO2,,unique,,,,,,monoclinic,,[]
struct_0264_relaxed.cif,Ca2Ti2Si2O,,unique,,,,,,tetragonal,,[]
